Name,Category,Brand,Selling Price,MRP,Discount,Discount.1,Ratings,Details,No_of_ratings,No_of_reviews
HP G8 Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 11 Home) 245 G8 Laptop,Laptops,Hp,28999,41610,0.3,0.303076184,3.7,['AMD Ryzen 3 Dual Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD' '35.56 cm (14 inch) Display' 'NA' '1 Year Manufacturer Warranty'],24,2
Lenovo IdeaPad 1 Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) 11IGL05 Thin and Light Laptop,Laptops,Lenovo,23250,34890,0.33,0.333619948,3.7,['Intel Celeron Dual Core Processor' '4 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '29.46 cm (11.6 Inch) Display' 'Office Home and Student 2021' '1 Year Onsiteï¿½Warranty'],522,28
acer Predator Helios 300 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeFor...,Laptops,Acer,134990,149990,0.1,0.100006667,4.5,['Intel Core i7 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '39.62 cm (15.6 inches) Display' 'Acer Care Center Acer Product Registration Planet 9 Predator Sense' '1 Year International Travelers Warranty (ITW)'],57,8
HP Pavilion Aero Ryzen 5 Hexa Core 5600U - (16 GB/512 GB SSD/Windows 10 Home) 13-BE0190AU Thin and Lig...,Laptops,Hp,69990,89992,0.22,0.222264201,4.5,['AMD Ryzen 5 Hexa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '33.78 cm (13.3 inches) Display' 'Microsoft Office Home & Student 2019 HP Documentation HP BIOS recovery HP Smart Alexa HP Support Assistant' '1 Year Onsite Warranty'],198,29
DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) ...,Laptops,Dell,116490,150636,0.22,0.226678882,4.6,['Intel Core i7 Processor (12th Gen)' '16 GB DDR5 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' '1 Year Premium Support'],5,2
ASUS VivoBook 15 (2021) Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) X515EA-BR391W Thin and Ligh...,Laptops,Asus,32990,49990,0.34,0.340068014,3.7,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],347,36
DELL G15 Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,Laptops,Dell,79490,108000,0.26,0.263981481,4.5,['NVIDIA GEFORCE RTX 3050' '15.6 inches Full HD 2-sided narrow bezel 120Hz 250 Nits' 'Improved thermal design with copper pipes & vents' 'Game shift key for Turbo boost of power' 'In-built Alienware Command center software with enhanced control over system settings' 'AMD Ryzen 5 Hexa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Premium Support'],52,9
Lenovo Core i3 10th Gen - (8 GB/1 TB HDD/Windows 11 Home) 81WB018UIN | 81WB01E7IN Thin and Light Lapto...,Laptops,Lenovo,35990,57990,0.37,0.379375754,3.7,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2021' '2 Years Warranty'],405,53
DELL Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) Vostro 5625 Laptop,Laptops,Dell,59990,79287,0.24,0.243381639,4.7,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '40.64 cm (16 Inch) Display' '1 Year Onsite Warranty'],7,2
ASUS Vivobook 14 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X415FA-BV311T Laptop,Laptops,Asus,31990,40990,0.21,0.219565748,3.9,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '35.81 cm (14.1 inch) Display' 'Windows 10 Home 1 Year Mcafee' '1 Year Onsite Warranty'],126,13
HP Ryzen 5 Quad Core 3500U 3rd Gen - (8 GB/1 TB HDD/DOS) 3K1G7PA Laptop,Laptops,Hp,35990,41651,0.13,0.135915104,3.5,['AMD Ryzen 5 Quad Core Processor (3rd Gen)' '8 GB DDR4 RAM' 'DOS Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],42,7
ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ501T Thin and Light Lapto...,Laptops,Asus,44990,55990,0.19,0.196463654,3.9,['Intel Core i5 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Splendid Tru2Life My Asus' '1 Year Onsite Warranty'],1500,188
ALIENWARE Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2070) m1...,Laptops,Alienware,250000,293080,0.14,0.146990583,4,['NVIDIA GeForce RTX 2070' '15.6 inch Full HD LED Backlit Anti-glare IPS Display 300 Hz 300 Nits' 'Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance' 'Tobii-eye tracking to track head pose presence fine gaze and eye position' 'In-built Alienware Command center software with enhanced control over system settings' 'Intel Core i7 Processor (10th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Limited Hardware Warranty In Home Service After Remote Diagnosis - Retail'],5,2
ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphi...,Laptops,Asus,105990,137990,0.23,0.231900862,4,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR5 RAM' 'Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 Inch) Display' 'Office Home and Student McAfee' '1 Year Onsite Warranty'],17,4
HP 247 G8 Ryzen 3 Quad Core - (8 GB/512 GB SSD/DOS) 6B5R3PA#ACJ Notebook,Laptops,Hp,26990,40486,0.33,0.3333498,3.7,['AMD Ryzen 3 Quad Core Processor' '8 GB DDR4 RAM' 'DOS Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1Year'],174,19
HP 15s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light Laptop,Laptops,Hp,62980,72210,0.12,0.127821631,4.1,['Intel Core i5 Processor (12th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],88,6
DELL Inspiron Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) Inspiron 3501 Laptop,Laptops,Dell,42990,48900,0.12,0.120858896,4.1,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Limited Hardware Warranty In Home Service After Remote Diagnosis - Retail'],238,26
Lenovo IdeaPad Flex 3 Chromebook Celeron Dual Core - (4 GB/128 GB EMMC Storage/Chrome OS) CB 11IJL6 Ch...,Laptops,Lenovo,28490,40490,0.29,0.296369474,3.6,['Intel Celeron Dual Core Processor' '4 GB LPDDR4X RAM' '64 bit Chrome Operating System' '29.46 cm (11.6 inch) Touchscreen Display' '1 Year Onsiteï¿½Warranty'],150,22
DELL Inspiron Core i5 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Laptop,Laptops,Dell,56782,71578,0.2,0.206711559,4,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '256 GB SSD' '39.62 cm (15.6 Inch) Display' '1 Year Onsite Warranty'],21,3
Lenovo Legion 5 Pro Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,Laptops,Lenovo,157990,224490,0.29,0.296227003,4.6,['Intel Core i7 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '40.64 cm (16 inch) Display' '3 Years Onsiteï¿½Warrantyï¿½+ 3 Years Legion Ultimate Support + 1 Year Accidental Damage Protection'],49,4
DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light Laptop,Laptops,Dell,43090,56776,0.24,0.241052557,4,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2019 included' '1 Year Onsite Warranty'],52,4
ASUS Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) C423NA-EC0521 Chromebook,Laptops,Asus,25990,29990,0.13,0.133377793,4.1,['Intel Celeron Dual Core Processor' '4 GB LPDDR4 RAM' 'Chrome Operating System' '35.56 cm (14 inch) Touchscreen Display' '1 Year Onsite Warranty'],203,27
DELL Inspiron Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 7420 Thin and Light Laptop,Laptops,Dell,69999,81585,0.14,0.142011399,3.6,"['Processor: Intel i3-1215U (0.9 GHz up to 4.40 GHz) 6 Cores 10MB CPU Cache' 'RAM & Storage: 8GB 1x8GB DDR4 3200MHz 512GB SSD' 'Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits Dell Active Pen' 'Graphics: Integrated Keyboard: Backlit Keyboard + Fingerprint Reader' 'Ports: 1 HDMI out 1.4 1 USB 3.2 Gen 1 Type-A  2 USB 3.2 Gen 2x2 Type-C with PowerDelivery and Video 1 3.5mm Headphone/Microphone combination jack SD Card Reader' 'Headphone/Microphone combination jack SD Card Reader' 'Intel Core i3 Processor (12th Gen)' '8 GB DDR5 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Touchscreen Display' '1 Year Onsite Hardware Service']",10,4
acer Predator Helios 300 Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeFor...,Laptops,Acer,146990,189990,0.22,0.226327701,4.6,['Intel Core i9 Processor (12th Gen)' '16 GB DDR5 RAM' '64 bit Windows 11 Operating System' '1 TB SSD' '39.62 cm (15.6 Inch) Display' '1 Year International Travelers Warranty (ITW)'],91,18
Lenovo Ideapad 3 Dual Core 3020e - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop,Laptops,Lenovo,27490,29290,0.06,0.061454421,4,['AMD Dual Core Processor' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' '1 Year Onsite Warranty'],1167,145
acer Aspire 3 Ryzen 3 Dual Core R33250U - (4 GB/1 TB HDD/Windows 10 Home) A315-23 Notebook,Laptops,Acer,34130,49999,0.31,0.317386348,3.6,['AMD Ryzen 3 Dual Core Processor' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Acer Care Center Quick Access Acer Product Registration' '1 Year International Travelers Warranty (ITW)'],135,20
Vaio E Series Ryzen 7 Quad Core 3700U - (8 GB/512 GB SSD/Windows 10 Home) NE15V2IN027P Thin and Light ...,Laptops,Vaio,57990,76090,0.23,0.237876199,3.8,['AMD Ryzen 7 Quad Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office 365' '2 Years Onsite Warranty'],173,33
DELL Vostro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10) Vostro 3000 Thin and Light Laptop,Laptops,Dell,56400,80700,0.3,0.301115242,4.1,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],395,26
DELL Vostro 3405 Athlon Dual Core 3050 - (4 GB/256 GB SSD/Windows 10 Home) Vostro 3405 Thin and Light ...,Laptops,Dell,28290,39874,0.29,0.290515123,4.1,['AMD Athlon Dual Core Processor' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '35.56 cm (14 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],487,54
Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,Laptops,Lenovo,66990,93690,0.28,0.284982389,4.1,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Warranty + 1 Year Premium Care + 1 Year ADP'],44,10
ASUS Zenbook 14X (2022) Space Edition Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) UX5401ZAS-KN...,Laptops,Asus,129990,164990,0.21,0.212134069,4.1,['Intel Core i7 Processor (12th Gen)' '16 GB LPDDR5 RAM' 'Windows 11 Operating System' '1 TB SSD' '35.56 cm (14 inch) Touchscreen Display' 'Microsoft Office Home & Student 2021' '1 Year Onsite Warranty'],10,2
DELL Inspiron 15 3000 Pentium Quad Core - (4 GB/500 GB HDD/Windows 10 Home) 3552 Laptop,Laptops,Dell,22990,24418,0.05,0.058481448,4.1,['Intel Pentium Quad Core Processor' '4 GB DDR3 RAM' '64 bit Windows 10 Operating System' '500 GB HDD' '39.62 cm (15.6 inch) Display' '1 Year Limited Hardware Warranty InHome Service After Remote Diagnosis'],1299,186
Lenovo IdeaPad Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 10 Home) IdeaPad 5 15ALC05 Thin and ...,Laptops,Lenovo,57990,78290,0.25,0.259292375,4.1,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office 2019 Home & Student' '1 Year Onsiteï¿½Warrantyï¿½+ 1 Year Accidental Damage Protection + 1 Year premium Care'],113,16
HP Pavilion Gaming Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDI...,Laptops,Hp,59990,68192,0.12,0.120278038,4.1,['AMD Ryzen 5 Hexa Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'HP Documentation HP e-service HP BIOS Recovery HP Smart HP Jumpstarts HP Audio Switch HP Audio Boost HP Support Assistant HP SSRM Dropbox' '1 Year Onsite Warranty'],1609,165
DELL Inspiron Core i3 11th Gen - (8 GB/1 TB HDD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,Laptops,Dell,37990,51493,0.26,0.262229818,3.7,['Intel Core i3 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '1 TB HDD' '38.0 cm (14.96 inch) Display' 'NA' '1 Year Onsite Warranty'],670,85
DELL Inspiron Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10) Inspiron 3511 Thin and Light Laptop,Laptops,Dell,43590,55534,0.21,0.215075449,3.8,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2019 included' '1 Year Onsite Warranty'],65,5
Infinix X1 Slim Series Core i7 10th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL21 Thin and Light Lapto...,Laptops,Infinix,49990,69999,0.28,0.285846941,3.6,['Intel Core i7 Processor (10th Gen)' '16 GB LPDDR4X RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 Inch) Display' 'NA' '1 Year Onsite Warranty'],98,23
Nokia PureBook S14 Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) NKi511TL165S Thin and Light L...,Laptops,Nokia,52490,82990,0.36,0.367514158,4,['Intel Core i5 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty Commencing from the Date of Purchase'],765,181
Lenovo Yoga Slim 7 Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14ITL5 2 in 1 Lapto...,Laptops,Lenovo,87990,125890,0.3,0.301056478,4.8,['Intel Core i5 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '35.56 cm (14 Inch) Touchscreen Display' 'Microsoft Office Home and Student 2019' '3 Years Warranty + 1 Year Premium Care + 1 Year ADP'],33,6
ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-...,Laptops,Asus,86990,116990,0.25,0.256432174,3.8,['Intel Core i7 Processor (12th Gen)' '16 GB DDR4 RAM' 'Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' 'Office Home and Student 2021' '1 Year Onsite Warranty'],31,7
MSI Summit E15 Core i7 11th Gen - (16 GB/1 TB SSD/Windows 10 Pro/4 GB Graphics) Summit E15 A11SCST-272...,Laptops,Msi,134990,156990,0.14,0.140136314,4,['Intel Core i7 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '39.62 cm (15.6 inch) Touchscreen Display' 'Cooler Boost 3 True Color 2.0 Nahimic 3 MSI Center' '2 Years Carry In Warranty'],3,2
DELL Inspiron Ryzen 5 Quad Core 3450U - (8 GB/256 GB SSD/Windows 10) Inspiron 3515 Thin and Light Lapt...,Laptops,Dell,44990,56573,0.2,0.204744313,4,['AMD Ryzen 5 Quad Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Office Home and Student 2019 included' '1 Year Onsite Warranty'],319,29
Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Thin and Ligh...,Laptops,Lenovo,30590,37190,0.17,0.177467061,3.9,['AMD Ryzen 3 Dual Core Processor' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Lenovo App Explorer Lenovo Companion 3.0 Lenovo Vantage Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],6196,934
DELL Inspiron Core i5 11th Gen - (8 GB/1 TB SSD/Windows 10 Home) Inspiron 5301 Thin and Light Laptop,Laptops,Dell,78190,89887,0.13,0.130130052,4.5,['Intel Core i5 Processor (11th Gen)' '8 GB LPDDR4X RAM' '64 bit Windows 10 Operating System' '1 TB SSD' '33.78 cm (13.3 inch) Display' '1 Year Onsite Warranty'],21,3
MSI GS Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX 1060) GS65...,Laptops,Msi,149990,169990,0.11,0.11765398,4.1,['512 GB SSD for Reduced Boot Up Time and in Game Loading' 'Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security Free Automated Updates Latest Features)' 'NVIDIA Geforce GTX 1060 for Desktop Level Performance' 'Per-Key RGB Gaming Keyboard Helps in Customizing Each Key' 'Intel Core i7 Processor (8th Gen)' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'SHIFT Xsplit Gamecaster Nahimic 3 Cooler Boost Trinity Dragon Center 2.0 True Color 2.0' '2 Years Carry In Warranty'],10,3
Lenovo Ideapad S145 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) S145-15IIL Thin and Light Lap...,Laptops,Lenovo,33990,51890,0.34,0.344960493,4.1,['Intel Core i3 Processor (10th Gen)' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Onsite Warranty'],1114,140
Vaio E Series Ryzen 7 Quad Core 3700U - (8 GB/512 GB SSD/Windows 10 Home) NE15V2IN026P Thin and Light ...,Laptops,Vaio,52990,76090,0.3,0.303587856,3.8,['AMD Ryzen 7 Quad Core Processor' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office 365' '2 Years Onsite Warranty'],173,33
Lenovo IdeaPad 1 Celeron Dual Core 4th Gen - (4 GB/256 GB SSD/Windows 10 Home) 11IGL05 Thin and Light ...,Laptops,Lenovo,23890,40490,0.4,0.409977772,3.9,['Intel Celeron Dual Core Processor (4th Gen)' '4 GB DDR4 RAM' '64 bit Windows 10 Operating System' '256 GB SSD' '29.46 cm (11.6 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Warranty'],403,38
HP Pavilion Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RT...,Laptops,Hp,74660,89780,0.16,0.168411673,4.1,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home & Student 2019' '1 Year Onsite Warranty'],27,4
Nokia PureBook S14 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) NKi511TL85S Thin and Light Lap...,Laptops,Nokia,47990,82990,0.42,0.421737559,4,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 inch) Display' '1 Year Onsite Warranty Commencing from the Date of Purchase'],96,19
Lenovo IdeaPad Gaming 3 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,Laptops,Lenovo,66499,93690,0.29,0.290223076,4,['Intel Core i5 Processor (11th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inch) Display' '1 Year Warranty + 1 Year Premium Care + 1 Year ADP'],114,15
HP Pavilion Intel Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dy1050TU Thin and Light Lap...,Laptops,Hp,86100,100000,0.13,0.139,3.9,['Intel Core i7 Processor (11th Gen)' '16 GB DDR4 RAM' '64 bit Windows 11 Operating System' '512 GB SSD' '35.56 cm (14 Inch) Touchscreen Display' '1 Year Onsite Warranty'],16,5
Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IML05 Thin and Light Laptop,Laptops,Lenovo,35500,55190,0.35,0.35676753,4,['Intel Core i3 Processor (10th Gen)' '8 GB DDR4 RAM' '64 bit Windows 10 Operating System' '1 TB HDD' '39.62 cm (15.6 inch) Display' 'Microsoft Office Home and Student 2019' '1 Year Warranty Term'],1424,145
HP Pavilion Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,Laptops,Hp,90000,103215,0.12,0.128033716,4.6,['AMD Ryzen 7 Octa Core Processor' '16 GB DDR4 RAM' '64 bit Windows 10 Operating System' '512 GB SSD' '39.62 cm (15.6 inches) Display' 'HP Documentation HP e-service HP BIOS recovery HP SSRM HP Smart HP Jumpstarts' '1 Year Onsite Warranty'],289,40
realme C30 (Denim Black 32 GB),Mobiles,Realme,6749,9299,0.27,0.274223035,4.1,['3 GB RAM | 32 GB ROM | Expandable Upto 1 TB' '16.51 cm (6.5 inch) HD+ Display' '8MP Rear Camera | 5MP Front Camera' '5000 mAh Lithium Ion Battery' 'Unisoc T612 Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories'],30246,1977
realme 9i (Prism Black 128 GB),Mobiles,Realme,11499,16999,0.32,0.323548444,4.5,['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '16.76 cm (6.6 inch) Full HD+ Display' '50MP + 2MP + 2MP | 16MP Front Camera' '5000 mAh Lithium ion Battery' 'Qualcomm Snapdragon 680 (SM6225) Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories'],109110,6387
realme 9i (Prism Blue 128 GB),Mobiles,Realme,11499,16999,0.32,0.323548444,4.5,['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '16.76 cm (6.6 inch) Full HD+ Display' '50MP + 2MP + 2MP | 16MP Front Camera' '5000 mAh Lithium ion Battery' 'Qualcomm Snapdragon 680 (SM6225) Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories'],109110,6387
realme 9i (Prism Blue 128 GB),Mobiles,Realme,13499,17999,0.25,0.25001389,4.5,['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '16.76 cm (6.6 inch) Full HD+ Display' '50MP + 2MP + 2MP | 16MP Front Camera' '5000 mAh Lithium ion Battery' 'Qualcomm Snapdragon 680 (SM6225) Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories'],24789,1479
realme 10 Pro 5G (Nebula Blue 128 GB),Mobiles,Realme,19999,22999,0.13,0.130440454,4.6,['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '17.07 cm (6.72 inch) Full HD+ Display' '108MP + 2MP | 16MP Front Camera' '5000 mAh Battery' 'Qualcomm Snapdragon 695 5G Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories'],153,24
realme 10 Pro 5G (Hyperspace 128 GB),Mobiles,Realme,19999,22999,0.13,0.130440454,4.6,['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '17.07 cm (6.72 inch) Full HD+ Display' '108MP + 2MP | 16MP Front Camera' '5000 mAh Battery' 'Qualcomm Snapdragon 695 5G Processor' '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories'],153,24
vivo T1 44W (Starry Sky 128 GB),Mobiles,vivo,14499,19990,0.27,0.274687344,4.5,['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '16.36 cm (6.44 inch) Full HD+ AMOLED Display' '50MP + 2MP + 2MP | 16MP Front Camera' '5000 mAh Lithium Battery' 'Qualcomm Snapdragon 680 Processor' '1 Year Handset and 6 Months Accessories'],70407,5104
vivo T1 44W (Midnight Galaxy 128 GB),Mobiles,vivo,14499,19990,0.27,0.274687344,4.5,['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB' '16.36 cm (6.44 inch) Full HD+ AMOLED Display' '50MP + 2MP + 2MP | 16MP Front Camera' '5000 mAh Lithium Battery' 'Qualcomm Snapdragon 680 Processor' '1 Year Handset and 6 Months Accessories'],70407,5104
vivo T1X (Space Blue 128 GB),Mobiles,vivo,12999,17990,0.27,0.277431907,4.5,['4 GB RAM | 128 GB ROM' '16.71 cm (6.58 inch) Full HD+ Display' '50MP + 2MP | 8MP Front Camera' '5000 mAh Battery' 'Qualcomm Snapdragon 680 Processor' '1 Year on Handset and 6 Months on Accessories'],62724,3519
